"union find, microset", "worst_case 1.000", 2, 4.9412250519e-09
"successor, 2-pass, microset", "worst_case 1.000", 2, 4.9322843552e-09
"successor, recursive", "worst_case 2.000", 2, 6.3717365265e-09
"successor, 2-pass", "worst_case 2.000", 2, 6.0319900513e-09
"successor, 2-pass, checked", "worst_case 2.000", 2, 6.3866376877e-09
"successor, halving", "worst_case 2.000", 2, 4.9799680710e-09
"quick find", "worst_case 2.000", 2, 5.7116150856e-09
"union find", "worst_case 2.000", 2, 7.2419643402e-09
"quick find, microset", "worst_case 2.000", 2, 6.1869621277e-09
"union find, microset", "worst_case 2.000", 2, 6.2704086304e-09
"successor, 2-pass, microset", "worst_case 2.000", 2, 6.0498714447e-09
"successor, recursive", "worst_case 4.000", 2, 9.6410512924e-09
"successor, 2-pass", "worst_case 4.000", 2, 9.0450048447e-09
"successor, 2-pass, checked", "worst_case 4.000", 2, 9.6499919891e-09
"successor, halving", "worst_case 4.000", 2, 7.2956085205e-09
"quick find", "worst_case 4.000", 2, 7.4505805969e-09
"union find", "worst_case 4.000", 2, 1.0651350021e-08
"quick find, microset", "worst_case 4.000", 2, 9.1195106506e-09
"union find, microset", "worst_case 4.000", 2, 8.9168548584e-09
"successor, 2-pass, microset", "worst_case 4.000", 2, 8.8214874268e-09
"successor, recursive", "worst_case 8.000", 2, 1.6361474991e-08
"successor, 2-pass", "worst_case 8.000", 2, 1.4901161194e-08
"successor, 2-pass, checked", "worst_case 8.000", 2, 1.6045570374e-08
"successor, halving", "worst_case 8.000", 2, 1.2570619583e-08
"quick find", "worst_case 8.000", 2, 1.1086463928e-08
"union find", "worst_case 8.000", 2, 1.7058849335e-08
"quick find, microset", "worst_case 8.000", 2, 1.4722347260e-08
"union find, microset", "worst_case 8.000", 2, 1.5223026276e-08
"successor, 2-pass, microset", "worst_case 8.000", 2, 1.4364719391e-08
"successor, recursive", "worst_case 0.125", 4, 4.9710273743e-09
"successor, 2-pass", "worst_case 0.125", 4, 5.0842761993e-09
"successor, 2-pass, checked", "worst_case 0.125", 4, 5.7250261307e-09
"successor, halving", "worst_case 0.125", 4, 4.7981739044e-09
"quick find", "worst_case 0.125", 4, 6.6220760345e-09
"union find", "worst_case 0.125", 4, 8.7738037109e-09
"quick find, microset", "worst_case 0.125", 4, 6.0945749283e-09
"union find, microset", "worst_case 0.125", 4, 6.0468912125e-09
"successor, 2-pass, microset", "worst_case 0.125", 4, 6.0260295868e-09
"successor, recursive", "worst_case 0.250", 4, 5.0425529480e-09
"successor, 2-pass", "worst_case 0.250", 4, 5.0812959671e-09
"successor, 2-pass, checked", "worst_case 0.250", 4, 5.6833028793e-09
"successor, halving", "worst_case 0.250", 4, 4.8130750656e-09
"quick find", "worst_case 0.250", 4, 6.8187713623e-09
"union find", "worst_case 0.250", 4, 8.7857246399e-09
